Organization (Aggregated),Enabled Users,% Active Users,Average Copilot Actions,Avg Active Days,% Power Users,Date
The Avengers,74,63.2%,23.9,2.8,1.8%,2025-08-31 00:00:00
The Avengers,75,61.2%,19.5,2.6,3.4%,2025-09-07 00:00:00
The Avengers,70,52.3%,12.6,2.0,2.7%,2025-09-14 00:00:00
The Avengers,71,57.0%,16.3,2.3,2.6%,2025-09-21 00:00:00
The Avengers,70,57.9%,17.1,2.3,5.3%,2025-09-28 00:00:00
The Avengers,70,61.1%,17.9,2.4,16.7%,2025-10-05 00:00:00
The Avengers,71,67.3%,19.2,2.5,19.2%,2025-10-12 00:00:00
The Avengers,71,63.6%,24.5,2.8,22.4%,2025-10-19 00:00:00
The Avengers,72,66.3%,18.2,2.7,26.9%,2025-10-26 00:00:00
The Avengers,72,66.0%,20.2,2.8,27.4%,2025-11-02 00:00:00
The Avengers,72,66.4%,19.7,2.8,27.1%,2025-11-09 00:00:00
The Avengers,72,62.9%,17.4,2.4,27.6%,2025-11-16 00:00:00
The Avengers,75,67.3%,24.7,3.0,28.0%,2025-11-23 00:00:00
The Avengers,76,66.1%,19.7,2.8,28.4%,2025-11-30 00:00:00
The Avengers,75,65.1%,21.1,2.5,30.2%,2025-12-07 00:00:00
The Avengers,74,60.4%,14.1,2.4,29.2%,2025-12-14 00:00:00
The Avengers,68,53.3%,6.3,1.3,30.0%,2025-12-21 00:00:00
The Avengers,64,44.3%,8.0,1.1,26.1%,2025-12-28 00:00:00
The Avengers,70,57.6%,15.0,2.1,25.3%,2026-01-04 00:00:00
The Avengers,73,60.6%,18.7,2.3,26.9%,2026-01-11 00:00:00
The Avengers,73,64.8%,21.7,2.7,24.8%,2026-01-18 00:00:00
The Avengers,76,66.3%,22.8,2.8,23.1%,2026-01-25 00:00:00
The Avengers,76,65.4%,16.5,2.3,20.2%,2026-02-01 00:00:00
The Avengers,79,70.5%,23.7,2.8,23.8%,2026-02-08 00:00:00
The Avengers,81,70.8%,21.1,2.8,23.6%,2026-02-15 00:00:00
The Avengers,92,77.6%,20.7,2.8,25.2%,2026-02-22 00:00:00
The Avengers,98,88.6%,22.4,3.0,23.8%,2026-03-01 00:00:00
The Avengers,99,84.9%,27.6,3.3,23.6%,2026-03-08 00:00:00
Ferris Buellers Day Off,31,50.8%,14.8,2.8,,2025-03-30 00:00:00
Ferris Buellers Day Off,31,42.6%,16.7,2.5,,2025-04-06 00:00:00
Ferris Buellers Day Off,31,43.3%,10.8,1.9,,2025-04-13 00:00:00
Ferris Buellers Day Off,31,48.3%,12.8,2.2,,2025-04-20 00:00:00
Ferris Buellers Day Off,28,41.1%,9.3,1.7,,2025-04-27 00:00:00
Ferris Buellers Day Off,31,52.5%,21.1,2.5,,2025-05-04 00:00:00
Ferris Buellers Day Off,32,49.2%,16.8,2.6,,2025-05-11 00:00:00
Ferris Buellers Day Off,32,52.5%,17.9,2.8,,2025-05-18 00:00:00
Ferris Buellers Day Off,32,41.9%,12.7,2.0,11.3%,2025-05-25 00:00:00
Ferris Buellers Day Off,32,36.1%,9.6,1.9,13.1%,2025-06-01 00:00:00
Ferris Buellers Day Off,29,43.9%,13.4,2.2,14.0%,2025-06-08 00:00:00
Ferris Buellers Day Off,30,44.6%,19.0,2.2,16.1%,2025-06-15 00:00:00
Ferris Buellers Day Off,31,55.6%,19.2,2.5,14.8%,2025-06-22 00:00:00
Ferris Buellers Day Off,34,54.2%,13.5,2.2,15.3%,2025-06-29 00:00:00
Ferris Buellers Day Off,38,60.3%,14.9,2.5,13.8%,2025-07-06 00:00:00
Ferris Buellers Day Off,41,61.7%,13.6,2.6,16.7%,2025-07-13 00:00:00
Ferris Buellers Day Off,40,59.6%,22.6,2.3,19.3%,2025-07-20 00:00:00
Ferris Buellers Day Off,38,57.1%,16.8,2.3,16.1%,2025-07-27 00:00:00
Ferris Buellers Day Off,41,61.0%,16.7,2.3,16.9%,2025-08-03 00:00:00
Ferris Buellers Day Off,39,62.1%,18.2,2.3,15.5%,2025-08-10 00:00:00
Ferris Buellers Day Off,38,65.5%,20.5,2.6,16.4%,2025-08-17 00:00:00
Ferris Buellers Day Off,42,59.3%,39.4,2.3,20.3%,2025-08-24 00:00:00
Ferris Buellers Day Off,44,67.2%,25.0,2.2,19.0%,2025-08-31 00:00:00
Ferris Buellers Day Off,42,62.5%,15.9,2.2,19.6%,2025-09-07 00:00:00
Ferris Buellers Day Off,42,68.4%,20.5,2.6,24.6%,2025-09-14 00:00:00
Ferris Buellers Day Off,45,72.9%,17.9,2.6,20.3%,2025-09-21 00:00:00
Ferris Buellers Day Off,44,73.7%,16.3,2.5,22.8%,2025-09-28 00:00:00
Ferris Buellers Day Off,45,69.5%,16.7,2.5,23.7%,2025-10-05 00:00:00
Ferris Buellers Day Off,45,63.3%,13.3,2.2,21.7%,2025-10-12 00:00:00
Ferris Buellers Day Off,43,62.7%,14.8,2.1,20.3%,2025-10-19 00:00:00
Ferris Buellers Day Off,42,69.6%,22.1,2.3,23.2%,2025-10-26 00:00:00
Ferris Buellers Day Off,44,66.1%,16.6,2.4,23.7%,2025-11-02 00:00:00
Ferris Buellers Day Off,40,67.3%,15.1,1.8,20.0%,2025-11-09 00:00:00
Ferris Buellers Day Off,45,64.4%,16.0,2.1,22.0%,2025-11-16 00:00:00
Ferris Buellers Day Off,48,71.2%,21.1,2.6,25.4%,2025-11-23 00:00:00
Ferris Buellers Day Off,48,78.0%,19.6,2.9,27.1%,2025-11-30 00:00:00
Ferris Buellers Day Off,48,76.3%,17.9,2.6,27.1%,2025-12-07 00:00:00
Ferris Buellers Day Off,42,66.1%,13.1,2.4,25.0%,2025-12-14 00:00:00
Ferris Buellers Day Off,36,54.3%,7.8,1.2,28.3%,2025-12-21 00:00:00
Ferris Buellers Day Off,40,49.0%,6.0,1.1,25.5%,2025-12-28 00:00:00
Ferris Buellers Day Off,45,66.7%,14.1,2.0,26.3%,2026-01-04 00:00:00
Ferris Buellers Day Off,45,66.7%,18.0,2.5,23.3%,2026-01-11 00:00:00
Ferris Buellers Day Off,46,67.8%,16.6,2.5,23.7%,2026-01-18 00:00:00
Ferris Buellers Day Off,47,65.0%,21.6,2.6,25.0%,2026-01-25 00:00:00
Ferris Buellers Day Off,48,70.5%,25.0,2.9,26.2%,2026-02-01 00:00:00
Ferris Buellers Day Off,49,71.4%,21.4,2.5,25.4%,2026-02-08 00:00:00
Ferris Buellers Day Off,48,64.5%,18.8,2.4,27.4%,2026-02-15 00:00:00
Ferris Buellers Day Off,47,72.9%,20.9,2.7,28.8%,2026-02-22 00:00:00
Ferris Buellers Day Off,56,81.0%,21.1,2.8,28.6%,2026-03-01 00:00:00
Ferris Buellers Day Off,57,81.3%,22.8,2.9,28.1%,2026-03-08 00:00:00
Ferris Buellers Day Off,60,82.8%,25.6,3.1,28.1%,2026-03-15 00:00:00
Ferris Buellers Day Off,61,59.4%,5.4,0.7,29.7%,2026-03-22 00:00:00
The Breakfast Club,164,58.3%,13.1,2.5,,2025-03-30 00:00:00
The Breakfast Club,169,63.6%,15.6,2.5,,2025-04-06 00:00:00
The Breakfast Club,165,59.9%,14.2,2.4,,2025-04-13 00:00:00
The Breakfast Club,165,59.3%,12.6,2.1,,2025-04-20 00:00:00
The Breakfast Club,153,52.6%,8.4,1.6,,2025-04-27 00:00:00
The Breakfast Club,163,60.5%,13.0,2.2,,2025-05-04 00:00:00
The Breakfast Club,166,61.2%,13.4,2.5,,2025-05-11 00:00:00
The Breakfast Club,165,60.5%,14.0,2.3,,2025-05-18 00:00:00
The Breakfast Club,166,62.8%,15.4,2.5,6.6%,2025-05-25 00:00:00
The Breakfast Club,167,64.2%,16.3,2.7,10.6%,2025-06-01 00:00:00
The Breakfast Club,168,65.0%,16.2,2.5,12.1%,2025-06-08 00:00:00
The Breakfast Club,169,63.3%,13.4,2.4,12.9%,2025-06-15 00:00:00
The Breakfast Club,171,65.4%,16.9,2.6,12.9%,2025-06-22 00:00:00
The Breakfast Club,170,60.9%,14.1,2.2,11.5%,2025-06-29 00:00:00
The Breakfast Club,167,64.0%,17.0,2.6,13.4%,2025-07-06 00:00:00
The Breakfast Club,169,61.6%,18.2,2.5,14.5%,2025-07-13 00:00:00
The Breakfast Club,172,65.2%,19.7,2.6,15.6%,2025-07-20 00:00:00
The Breakfast Club,168,64.7%,20.4,2.7,17.6%,2025-07-27 00:00:00
The Breakfast Club,159,62.1%,20.6,2.7,17.9%,2025-08-03 00:00:00
The Breakfast Club,162,62.1%,25.0,2.4,20.0%,2025-08-10 00:00:00
The Breakfast Club,155,62.9%,25.9,2.6,21.8%,2025-08-17 00:00:00
The Breakfast Club,171,66.5%,25.5,2.7,22.7%,2025-08-24 00:00:00
The Breakfast Club,175,62.2%,26.6,2.5,22.8%,2025-08-31 00:00:00
The Breakfast Club,170,65.3%,18.3,2.5,24.9%,2025-09-07 00:00:00
The Breakfast Club,176,66.4%,21.9,2.7,23.9%,2025-09-14 00:00:00
The Breakfast Club,180,68.7%,20.6,2.7,24.5%,2025-09-21 00:00:00
The Breakfast Club,189,67.1%,22.0,2.5,24.4%,2025-09-28 00:00:00
The Breakfast Club,185,67.6%,19.4,2.5,23.6%,2025-10-05 00:00:00
The Breakfast Club,194,70.8%,23.1,2.6,22.6%,2025-10-12 00:00:00
The Breakfast Club,194,69.5%,25.1,2.8,22.7%,2025-10-19 00:00:00
The Breakfast Club,195,69.0%,35.4,2.7,22.4%,2025-10-26 00:00:00
The Breakfast Club,196,69.4%,34.9,2.6,25.2%,2025-11-02 00:00:00
The Breakfast Club,195,72.3%,34.0,2.6,24.9%,2025-11-09 00:00:00
The Breakfast Club,201,72.6%,28.5,2.6,25.9%,2025-11-16 00:00:00
The Breakfast Club,202,76.4%,25.2,2.9,25.9%,2025-11-23 00:00:00
The Breakfast Club,202,73.6%,23.2,2.9,26.4%,2025-11-30 00:00:00
The Breakfast Club,210,74.3%,18.9,2.6,27.5%,2025-12-07 00:00:00
The Breakfast Club,208,74.5%,19.3,2.6,27.8%,2025-12-14 00:00:00
The Breakfast Club,173,52.7%,9.5,1.3,26.4%,2025-12-21 00:00:00
The Breakfast Club,153,45.2%,7.8,1.2,24.9%,2025-12-28 00:00:00
The Breakfast Club,192,63.3%,13.6,2.0,22.2%,2026-01-04 00:00:00
The Breakfast Club,204,71.3%,18.7,2.7,24.2%,2026-01-11 00:00:00
The Breakfast Club,208,72.0%,23.1,2.9,24.6%,2026-01-18 00:00:00
The Breakfast Club,209,71.4%,23.3,2.8,24.8%,2026-01-25 00:00:00
The Breakfast Club,212,73.0%,23.1,2.8,25.8%,2026-02-01 00:00:00
The Breakfast Club,216,75.4%,23.0,2.8,26.5%,2026-02-08 00:00:00
The Breakfast Club,213,74.2%,22.0,2.8,26.6%,2026-02-15 00:00:00
The Breakfast Club,224,80.7%,26.5,3.1,28.4%,2026-02-22 00:00:00
The Breakfast Club,233,84.3%,25.5,3.1,27.2%,2026-03-01 00:00:00
The Breakfast Club,232,86.0%,29.4,3.3,28.8%,2026-03-08 00:00:00
The Breakfast Club,241,87.6%,26.7,3.1,31.2%,2026-03-15 00:00:00
The Breakfast Club,243,56.5%,5.5,0.6,31.2%,2026-03-22 00:00:00
Office Space,3,50.0%,12.3,3.3,,2025-03-30 00:00:00
Office Space,3,28.6%,23.3,2.3,,2025-04-06 00:00:00
Office Space,3,28.6%,17.0,2.3,,2025-04-13 00:00:00
Office Space,3,28.6%,9.3,2.0,,2025-04-20 00:00:00
Office Space,3,42.9%,7.3,1.3,,2025-04-27 00:00:00
Office Space,3,37.5%,13.5,2.3,,2025-05-04 00:00:00
Office Space,3,42.9%,13.3,2.8,,2025-05-11 00:00:00
Office Space,3,42.9%,9.5,1.8,,2025-05-18 00:00:00
Office Space,3,37.5%,5.8,1.5,12.5%,2025-05-25 00:00:00
Office Space,3,37.5%,6.7,1.3,12.5%,2025-06-01 00:00:00
Office Space,3,42.9%,14.0,3.3,14.3%,2025-06-08 00:00:00
Office Space,3,28.6%,1.3,0.7,14.3%,2025-06-15 00:00:00
Office Space,2,28.6%,8.3,1.7,,2025-06-22 00:00:00
Office Space,3,28.6%,7.0,1.0,,2025-06-29 00:00:00
Office Space,3,37.5%,9.3,1.8,,2025-07-06 00:00:00
Office Space,3,42.9%,13.3,2.8,,2025-07-13 00:00:00
Office Space,2,16.7%,7.7,1.7,,2025-07-20 00:00:00
Office Space,3,37.5%,6.8,2.3,,2025-07-27 00:00:00
Office Space,3,28.6%,2.0,0.5,,2025-08-03 00:00:00
Office Space,3,42.9%,11.0,2.0,,2025-08-10 00:00:00
Office Space,3,40.0%,12.8,2.3,,2025-08-17 00:00:00
Office Space,3,40.0%,14.5,1.8,,2025-08-24 00:00:00
Office Space,3,28.6%,7.4,1.2,,2025-08-31 00:00:00
Office Space,3,42.9%,12.5,1.8,,2025-09-07 00:00:00
Office Space,3,42.9%,13.4,2.2,14.3%,2025-09-14 00:00:00
Office Space,3,42.9%,6.0,1.8,14.3%,2025-09-21 00:00:00
Office Space,3,42.9%,10.4,1.3,14.3%,2025-09-28 00:00:00
Office Space,2,33.3%,5.2,1.2,16.7%,2025-10-05 00:00:00
Office Space,3,42.9%,8.5,1.2,14.3%,2025-10-12 00:00:00
Office Space,3,42.9%,12.0,1.3,14.3%,2025-10-19 00:00:00
Office Space,3,28.6%,6.2,1.4,28.6%,2025-10-26 00:00:00
Office Space,4,50.0%,9.5,2.8,12.5%,2025-11-02 00:00:00
Office Space,4,50.0%,16.3,3.0,12.5%,2025-11-09 00:00:00
Office Space,3,42.9%,16.7,2.7,14.3%,2025-11-16 00:00:00
Office Space,3,42.9%,3.3,1.3,,2025-11-23 00:00:00
Office Space,3,42.9%,12.7,4.0,,2025-11-30 00:00:00
Office Space,3,42.9%,3.7,1.7,,2025-12-07 00:00:00
Office Space,3,42.9%,5.7,2.3,,2025-12-14 00:00:00
Office Space,3,28.6%,3.7,0.7,,2025-12-21 00:00:00
Office Space,3,,0.0,0.0,,2025-12-28 00:00:00
Office Space,2,33.3%,17.5,4.5,,2026-01-04 00:00:00
Office Space,3,42.9%,5.5,1.8,,2026-01-11 00:00:00
Office Space,2,33.3%,2.3,1.0,,2026-01-18 00:00:00
Office Space,3,42.9%,3.0,1.5,,2026-01-25 00:00:00
Office Space,4,40.0%,8.0,1.4,,2026-02-01 00:00:00
Office Space,4,80.0%,6.0,2.0,,2026-02-08 00:00:00
Office Space,3,60.0%,2.3,1.3,,2026-02-15 00:00:00
Office Space,3,60.0%,9.3,2.5,,2026-02-22 00:00:00
Office Space,4,80.0%,17.5,2.5,,2026-03-01 00:00:00
Office Space,4,80.0%,20.3,2.3,,2026-03-08 00:00:00
Office Space,5,80.0%,28.8,2.2,,2026-03-15 00:00:00
Office Space,5,40.0%,6.4,0.6,,2026-03-22 00:00:00
Speed,7,63.6%,10.7,2.9,,2025-03-30 00:00:00
Speed,7,58.3%,17.6,3.0,,2025-04-06 00:00:00
Speed,8,46.2%,20.0,2.6,,2025-04-13 00:00:00
Speed,8,61.5%,17.4,3.0,,2025-04-20 00:00:00
Speed,8,61.5%,24.5,2.9,,2025-04-27 00:00:00
Speed,8,61.5%,21.9,3.5,,2025-05-04 00:00:00
Speed,8,61.5%,31.1,4.1,,2025-05-11 00:00:00
Speed,8,53.8%,26.3,3.1,,2025-05-18 00:00:00
Speed,8,61.5%,22.1,3.3,15.4%,2025-05-25 00:00:00
Speed,8,61.5%,14.9,2.8,23.1%,2025-06-01 00:00:00
Speed,8,61.5%,19.4,2.8,30.8%,2025-06-08 00:00:00
Speed,7,58.3%,11.6,2.5,33.3%,2025-06-15 00:00:00
Speed,7,46.2%,11.8,2.3,30.8%,2025-06-22 00:00:00
Speed,9,64.3%,18.0,2.8,28.6%,2025-06-29 00:00:00
Speed,9,64.3%,29.6,2.8,28.6%,2025-07-06 00:00:00
Speed,9,61.5%,21.2,2.6,30.8%,2025-07-13 00:00:00
Speed,9,69.2%,38.9,3.6,30.8%,2025-07-20 00:00:00
Speed,8,61.5%,38.6,4.3,23.1%,2025-07-27 00:00:00
Speed,9,69.2%,168.7,3.7,23.1%,2025-08-03 00:00:00
Speed,10,64.3%,33.5,3.7,21.4%,2025-08-10 00:00:00
Speed,11,71.4%,53.2,3.2,21.4%,2025-08-17 00:00:00
Speed,11,78.6%,22.5,2.7,28.6%,2025-08-24 00:00:00
Speed,11,71.4%,20.1,2.5,28.6%,2025-08-31 00:00:00
Speed,12,78.6%,22.4,2.8,28.6%,2025-09-07 00:00:00
Speed,11,76.9%,13.5,2.2,30.8%,2025-09-14 00:00:00
Speed,12,85.7%,13.2,2.5,21.4%,2025-09-21 00:00:00
Speed,12,78.6%,18.8,2.4,28.6%,2025-09-28 00:00:00
Speed,12,85.7%,28.3,3.0,35.7%,2025-10-05 00:00:00
Speed,12,71.4%,18.6,2.7,28.6%,2025-10-12 00:00:00
Speed,12,78.6%,17.4,2.6,35.7%,2025-10-19 00:00:00
Speed,12,85.7%,31.0,3.3,28.6%,2025-10-26 00:00:00
Speed,12,78.6%,29.5,2.8,21.4%,2025-11-02 00:00:00
Speed,12,85.7%,17.2,3.3,14.3%,2025-11-09 00:00:00
Speed,12,78.6%,13.1,2.8,14.3%,2025-11-16 00:00:00
Speed,12,78.6%,15.2,3.2,21.4%,2025-11-23 00:00:00
Speed,12,85.7%,14.6,3.4,21.4%,2025-11-30 00:00:00
Speed,12,78.6%,17.5,3.3,21.4%,2025-12-07 00:00:00
Speed,12,78.6%,18.2,3.3,21.4%,2025-12-14 00:00:00
Speed,11,75.0%,5.2,1.5,16.7%,2025-12-21 00:00:00
Speed,5,20.0%,0.8,0.2,20.0%,2025-12-28 00:00:00
Speed,7,100.0%,11.1,2.9,28.6%,2026-01-04 00:00:00
Speed,7,62.5%,10.4,2.0,12.5%,2026-01-11 00:00:00
Speed,7,62.5%,9.4,2.7,12.5%,2026-01-18 00:00:00
Speed,7,75.0%,19.3,3.4,12.5%,2026-01-25 00:00:00
Speed,7,87.5%,21.7,3.6,12.5%,2026-02-01 00:00:00
Speed,7,87.5%,16.9,3.7,12.5%,2026-02-08 00:00:00
Speed,7,87.5%,11.9,3.4,25.0%,2026-02-15 00:00:00
Speed,7,75.0%,11.3,3.3,25.0%,2026-02-22 00:00:00
Speed,7,87.5%,16.9,4.0,25.0%,2026-03-01 00:00:00
Speed,8,100.0%,15.6,3.4,12.5%,2026-03-08 00:00:00
Speed,8,100.0%,19.9,3.6,12.5%,2026-03-15 00:00:00
Speed,7,71.4%,1.7,0.7,,2026-03-22 00:00:00
The Big Lebowski,19,72.0%,8.6,2.2,,2025-03-30 00:00:00
The Big Lebowski,20,57.7%,8.7,1.8,,2025-04-06 00:00:00
The Big Lebowski,20,65.4%,12.4,2.5,,2025-04-13 00:00:00
The Big Lebowski,21,59.3%,6.4,1.6,,2025-04-20 00:00:00
The Big Lebowski,18,70.8%,10.8,2.2,,2025-04-27 00:00:00
The Big Lebowski,19,65.4%,12.2,2.4,,2025-05-04 00:00:00
The Big Lebowski,20,63.0%,12.0,2.6,,2025-05-11 00:00:00
The Big Lebowski,20,59.3%,12.0,2.5,,2025-05-18 00:00:00
The Big Lebowski,21,77.8%,9.5,2.3,3.7%,2025-05-25 00:00:00
The Big Lebowski,21,70.4%,10.3,2.5,3.7%,2025-06-01 00:00:00
The Big Lebowski,21,73.1%,16.4,2.9,3.8%,2025-06-08 00:00:00
The Big Lebowski,21,80.8%,11.5,2.5,3.8%,2025-06-15 00:00:00
The Big Lebowski,21,74.1%,17.1,3.0,11.1%,2025-06-22 00:00:00
The Big Lebowski,20,73.1%,9.0,2.4,11.5%,2025-06-29 00:00:00
The Big Lebowski,21,77.8%,13.7,2.6,11.1%,2025-07-06 00:00:00
The Big Lebowski,22,67.9%,17.1,2.4,10.7%,2025-07-13 00:00:00
The Big Lebowski,22,51.9%,15.8,2.0,14.8%,2025-07-20 00:00:00
The Big Lebowski,20,75.0%,49.4,3.0,16.7%,2025-07-27 00:00:00
The Big Lebowski,23,71.4%,56.9,2.6,17.9%,2025-08-03 00:00:00
The Big Lebowski,20,63.0%,12.1,2.4,22.2%,2025-08-10 00:00:00
The Big Lebowski,20,65.4%,19.3,2.3,19.2%,2025-08-17 00:00:00
The Big Lebowski,19,59.3%,11.2,2.0,22.2%,2025-08-24 00:00:00
The Big Lebowski,22,78.6%,10.8,2.5,17.9%,2025-08-31 00:00:00
The Big Lebowski,21,77.8%,11.3,2.3,18.5%,2025-09-07 00:00:00
The Big Lebowski,23,76.7%,9.8,2.4,16.7%,2025-09-14 00:00:00
The Big Lebowski,24,79.3%,11.4,2.7,10.3%,2025-09-21 00:00:00
The Big Lebowski,25,83.3%,13.6,2.6,13.3%,2025-09-28 00:00:00
The Big Lebowski,24,82.8%,12.1,2.7,10.3%,2025-10-05 00:00:00
The Big Lebowski,26,73.3%,11.2,2.2,13.3%,2025-10-12 00:00:00
The Big Lebowski,26,83.3%,13.0,2.9,13.3%,2025-10-19 00:00:00
The Big Lebowski,27,90.0%,16.5,3.1,10.0%,2025-10-26 00:00:00
The Big Lebowski,27,90.0%,13.3,2.8,10.0%,2025-11-02 00:00:00
The Big Lebowski,27,90.0%,14.3,3.2,10.0%,2025-11-09 00:00:00
The Big Lebowski,27,80.0%,10.0,2.5,10.0%,2025-11-16 00:00:00
The Big Lebowski,27,73.3%,9.5,2.1,6.7%,2025-11-23 00:00:00
The Big Lebowski,26,86.2%,12.9,2.5,10.3%,2025-11-30 00:00:00
The Big Lebowski,27,89.7%,14.4,2.7,10.3%,2025-12-07 00:00:00
The Big Lebowski,26,85.7%,14.4,2.5,10.7%,2025-12-14 00:00:00
The Big Lebowski,25,46.2%,2.1,0.6,11.5%,2025-12-21 00:00:00
The Big Lebowski,20,40.0%,4.9,0.8,10.0%,2025-12-28 00:00:00
The Big Lebowski,29,87.1%,14.7,2.7,6.5%,2026-01-04 00:00:00
The Big Lebowski,29,87.1%,12.3,2.2,9.7%,2026-01-11 00:00:00
The Big Lebowski,29,87.5%,15.7,2.5,9.4%,2026-01-18 00:00:00
The Big Lebowski,29,87.1%,14.2,2.5,12.9%,2026-01-25 00:00:00
The Big Lebowski,31,90.6%,14.4,2.7,9.4%,2026-02-01 00:00:00
The Big Lebowski,30,96.8%,17.0,2.6,9.7%,2026-02-08 00:00:00
The Big Lebowski,31,87.5%,14.4,2.6,9.4%,2026-02-15 00:00:00
The Big Lebowski,31,81.3%,14.1,2.5,9.4%,2026-02-22 00:00:00
The Big Lebowski,31,90.6%,15.5,2.6,9.4%,2026-03-01 00:00:00
The Big Lebowski,31,90.6%,18.1,3.1,9.4%,2026-03-08 00:00:00
The Big Lebowski,31,90.3%,21.5,3.0,12.9%,2026-03-15 00:00:00
The Big Lebowski,31,61.3%,6.5,0.6,12.9%,2026-03-22 00:00:00
A Few Good Men,6,25.0%,3.4,1.0,,2025-03-30 00:00:00
A Few Good Men,6,33.3%,3.8,1.1,,2025-04-06 00:00:00
A Few Good Men,4,36.4%,2.8,1.0,,2025-04-13 00:00:00
A Few Good Men,5,33.3%,4.6,1.4,,2025-04-20 00:00:00
A Few Good Men,5,25.0%,2.5,0.7,,2025-04-27 00:00:00
A Few Good Men,5,25.0%,4.6,1.6,,2025-05-04 00:00:00
A Few Good Men,5,27.3%,9.0,1.6,,2025-05-11 00:00:00
A Few Good Men,5,27.3%,8.7,1.8,,2025-05-18 00:00:00
A Few Good Men,4,36.4%,4.2,1.6,,2025-05-25 00:00:00
A Few Good Men,4,36.4%,7.8,2.2,,2025-06-01 00:00:00
A Few Good Men,3,27.3%,11.3,2.3,,2025-06-08 00:00:00
A Few Good Men,4,33.3%,4.2,1.0,,2025-06-15 00:00:00
A Few Good Men,4,40.0%,11.0,2.6,,2025-06-22 00:00:00
A Few Good Men,4,30.0%,14.6,1.6,,2025-06-29 00:00:00
A Few Good Men,4,33.3%,7.7,2.0,,2025-07-06 00:00:00
A Few Good Men,3,27.3%,2.8,1.4,,2025-07-13 00:00:00
A Few Good Men,3,27.3%,7.8,1.0,,2025-07-20 00:00:00
A Few Good Men,4,36.4%,4.2,1.5,,2025-07-27 00:00:00
A Few Good Men,7,50.0%,3.0,1.4,,2025-08-03 00:00:00
A Few Good Men,7,41.7%,4.4,1.3,,2025-08-10 00:00:00
A Few Good Men,4,33.3%,5.3,1.8,,2025-08-17 00:00:00
A Few Good Men,6,45.5%,6.1,2.0,,2025-08-24 00:00:00
A Few Good Men,7,54.5%,7.5,1.9,,2025-08-31 00:00:00
A Few Good Men,6,50.0%,6.1,2.3,,2025-09-07 00:00:00
A Few Good Men,6,41.7%,3.9,1.8,,2025-09-14 00:00:00
A Few Good Men,6,41.7%,4.4,1.8,,2025-09-21 00:00:00
A Few Good Men,6,50.0%,4.6,1.4,,2025-09-28 00:00:00
A Few Good Men,6,33.3%,4.8,1.3,,2025-10-05 00:00:00
A Few Good Men,6,45.5%,3.4,1.2,,2025-10-12 00:00:00
A Few Good Men,6,33.3%,5.4,1.0,,2025-10-19 00:00:00
A Few Good Men,6,41.7%,7.1,2.1,,2025-10-26 00:00:00
A Few Good Men,6,50.0%,7.4,1.9,,2025-11-02 00:00:00
A Few Good Men,6,50.0%,9.3,2.6,,2025-11-09 00:00:00
A Few Good Men,5,45.5%,9.3,2.3,,2025-11-16 00:00:00
A Few Good Men,6,33.3%,9.1,1.5,,2025-11-23 00:00:00
A Few Good Men,6,36.4%,7.5,2.0,,2025-11-30 00:00:00
A Few Good Men,6,50.0%,6.9,2.3,,2025-12-07 00:00:00
A Few Good Men,6,25.0%,5.5,1.5,,2025-12-14 00:00:00
A Few Good Men,6,33.3%,2.4,0.9,,2025-12-21 00:00:00
A Few Good Men,5,30.0%,11.0,1.2,10.0%,2025-12-28 00:00:00
A Few Good Men,6,50.0%,6.3,2.0,8.3%,2026-01-04 00:00:00
A Few Good Men,6,50.0%,8.3,2.3,8.3%,2026-01-11 00:00:00
A Few Good Men,6,41.7%,10.9,2.7,8.3%,2026-01-18 00:00:00
A Few Good Men,7,50.0%,8.0,2.4,8.3%,2026-01-25 00:00:00
A Few Good Men,7,58.3%,11.0,1.9,8.3%,2026-02-01 00:00:00
A Few Good Men,8,41.7%,4.8,1.4,8.3%,2026-02-08 00:00:00
A Few Good Men,8,58.3%,6.2,1.7,8.3%,2026-02-15 00:00:00
A Few Good Men,11,66.7%,4.8,2.1,8.3%,2026-02-22 00:00:00
A Few Good Men,10,90.9%,23.3,2.5,9.1%,2026-03-01 00:00:00
A Few Good Men,11,83.3%,35.6,2.7,,2026-03-08 00:00:00
A Few Good Men,10,81.8%,31.1,3.1,9.1%,2026-03-15 00:00:00
A Few Good Men,9,50.0%,6.7,0.7,10.0%,2026-03-22 00:00:00
Terminator 2,17,47.1%,14.6,2.9,,2025-03-30 00:00:00
Terminator 2,17,48.5%,13.9,2.7,,2025-04-06 00:00:00
Terminator 2,17,50.0%,16.6,3.2,,2025-04-13 00:00:00
Terminator 2,16,50.0%,14.6,2.5,,2025-04-20 00:00:00
Terminator 2,17,42.4%,7.9,1.8,,2025-04-27 00:00:00
Terminator 2,16,46.9%,19.2,2.8,,2025-05-04 00:00:00
Terminator 2,17,45.2%,15.1,3.1,,2025-05-11 00:00:00
Terminator 2,19,54.5%,21.8,3.5,,2025-05-18 00:00:00
Terminator 2,19,53.1%,21.5,2.8,18.8%,2025-05-25 00:00:00
Terminator 2,18,53.1%,17.7,3.2,21.9%,2025-06-01 00:00:00
Terminator 2,18,50.0%,17.2,3.0,18.8%,2025-06-08 00:00:00
Terminator 2,20,56.3%,14.5,2.5,18.8%,2025-06-15 00:00:00
Terminator 2,20,59.4%,18.6,3.0,18.8%,2025-06-22 00:00:00
